id,user_id,folder_id,created_at,updated_at,sharing,description,file_path,name,size,tokens,type,project_id,message_index,timestamp,topic_id,file_id,chunk_index,embedding_json,embedding,session_id,file_name,status,content,topic_name,speaker_role,ingested,ingested_at,uploaded_at,relevant_date
7cba80f1-d352-451a-86d7-91ba1112af83,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:50.735739+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDNfbWFyY2hfMjAyNV9hZ2VuZGFfb2NyLnBkZg==,03_march_2025_agenda_ocr.pdf,57273,551,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:02.498331,null,null
049e8206-b783-4c00-a456-0a2f1735233a,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:48:18.631308+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MjBfc29saWRfd2FzdGVzX29yZGluYW5jZS5wZGY=,20_solid_wastes_ordinance.pdf,5039720,8082,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:08.170317,null,null
a996fb2b-7018-421b-bf4f-bda600e3bb9b,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:46:49.861607+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfY29kZV9lbmZvcmNlbWVudF9wYW5oYW5kbGluZ19vcmRpbmFuY2UucGRm,05_code_enforcement_panhandling_ordinance.pdf,87305,252,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:04:54.393615,null,null
e6917db8-a964-4381-b140-3324270efbc8,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:19.077524+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjJfYWdlbmRhX29jci5wZGY=,05_may_2022_agenda_ocr.pdf,50256,463,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:27.55372,null,null
e3bedc96-156c-40b4-a2a7-581029f2f0d8,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:46:20.889419+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDFfYWRtaW5pc3RyYXRpb25fZ292ZXJubWVudF9vcmRpbmFuY2UucGRm,01_administration_government_ordinance.pdf,16922441,28636,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:22.97654,null,null
bec02577-99a6-4a98-9293-b26300e821f5,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:50:07.354498+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/cmVzb3VyY2VzX2Zvcl9uZXdseV9lbGVjdGVkX29mZmljaWFsc19vY3IucGRm,resources_for_newly_elected_officials_ocr.pdf,188446,458,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:24.492766,null,null
f58554e7-56ab-4120-acb3-1111811e072b,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:22.42739+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjNfYWdlbmRhX29jci5wZGY=,05_may_2023_agenda_ocr.pdf,1578850,640,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:28.370777,null,null
d112ce9f-498e-4ea3-83bd-0b6054cb2108,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:36:56.616029+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTBfb2N0b2Jlcl8yMDIzX2FnZW5kYV9vY3IucGRm,10_october_2023_agenda_ocr.pdf,67344,509,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
237507c1-b3c4-466d-9ff8-dba07e6e8d38,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:16.992399+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDFfamFudWFyeV8yMDIzX2FnZW5kYV9vY3IucGRm,01_january_2023_agenda_ocr.pdf,49979,432,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:04:55.47708,null,null
8a04dbd0-d3dc-4ea9-95d6-1318f80ce76d,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:36:05.267777+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDlfc2VwdGVtYmVyXzIwMjJfYWdlbmRhX29jci5wZGY=,09_september_2022_agenda_ocr.pdf,101908,503,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:29.33108,null,null
35f36a24-7b40-45da-9f56-6dc8179a0633,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:38.652438+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTBfb2N0b2Jlcl8yMDIzX21pbnV0ZXNfb2NyLnBkZg==,10_october_2023_minutes_ocr.pdf,413778,4803,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
baf465ee-85bf-44e8-82c6-0784995878dd,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:13.889284+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDFfamFudWFyeV8yMDIyX2FnZW5kYV9yZW9yZ19vY3IucGRm,01_january_2022_agenda_reorg_ocr.pdf,64195,333,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:25.473798,null,null
4ea0c34e-2b47-4492-8cdd-7513c1ffb19a,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:44.909234+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTFfbm92ZW1iZXJfMjAyMl9taW51dGVzX29jci5wZGY=,11_november_2022_minutes_ocr.pdf,141923,3228,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
4b270596-2b1f-43d0-9ad8-305cea341589,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:43:48.88101+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDNfbWFyY2hfMjAyMl9taW51dGVzX29jci5wZGY=,03_march_2022_minutes_ocr.pdf,124130,3430,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:31.37596,null,null
5409ec4f-e5e8-49a4-9658-2a830b827bbf,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:41:14.585273+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDJfZmVicnVhcnlfMjAyNF9taW51dGVzX29jci5wZGY=,02_february_2024_minutes_ocr.pdf,365932,4589,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:04:58.927474,null,null
b7ee1590-5a4b-41b1-8ec2-9946145109c5,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:44:08.143371+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjJfbWludXRlc19vY3IucGRm,05_may_2022_minutes_ocr.pdf,151883,3057,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:33.371646,null,null
096ccfa5-c756-4591-ba5e-e52882bff3bb,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:32.645429+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDJfZmVicnVhcnlfMjAyM19hZ2VuZGFfb2NyLnBkZg==,02_february_2023_agenda_ocr.pdf,104449,806,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:00.205901,null,null
f0ad0018-01fa-494d-9e0e-b0eae5f6d5d7,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:47:48.571348+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTZfcGFya3NfYW5kX3JlY3JlYXRpb25fb3JkaW5hbmNlLnBkZg==,16_parks_and_recreation_ordinance.pdf,2308644,4032,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
74dfaa90-781b-45a5-80f0-b56234c56f6c,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:29.351494+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDJfZmVicnVhcnlfMjAyMl9hZ2VuZGFfb2NyLnBkZg==,02_february_2022_agenda_ocr.pdf,103634,622,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:26.379446,null,null
2893252f-9d22-409b-a4b0-9ce6c3e629bb,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:49:23.568143+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/Z2VuZXJhbF9jb2RlX2luc3RydWN0aW9uc19vcmRpbmFuY2UucGRm,general_code_instructions_ordinance.pdf,270763,4852,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
484a5706-290f-4d2a-b2e5-745cf02be71c,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:09.519421+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDFfamFudWFyeV8yMDIyX2FnZW5kYV9vY3IucGRm,01_january_2022_agenda_ocr.pdf,97459,351,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:05:01.368764,null,null
61941d72-d3f7-4928-a155-3204d41d1326,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:33.255131+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjRfYWdlbmRhX29jci5wZGY=,05_may_2024_agenda_ocr.pdf,105367,647,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:07.503323,null,null
eb0aab70-7fad-4078-b644-55a8fcef3412,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:50:40.974585+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MjAxOV9vY3JfcGFydF8xLnBkZg==,2019_ocr_part_1.pdf,37033042,39785,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:01.637092,null,null
84e0f093-6302-4dce-8fe5-13497a32094a,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:20.06986+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDFfamFudWFyeV8yMDI0X2FnZW5kYV9vY3IucGRm,01_january_2024_agenda_ocr.pdf,102960,574,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:03.303774,null,null
80d691f8-93e3-45f1-bee3-dd954bad7022,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:36.464488+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjRfYWdlbmRhX3NwZWNpYWxfb2NyLnBkZg==,05_may_2024_agenda_special_ocr.pdf,82805,109,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:08.919979,null,null
00dc84c2-bb00-4853-b77e-f7810f539060,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:47.091872+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDNfbWFyY2hfMjAyNF9hZ2VuZGFfb2NyLnBkZg==,03_march_2024_agenda_ocr.pdf,105441,749,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:04.389639,null,null
7418917c-6ff0-4ffb-8b82-4752cc3f5358,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:55.082458+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDdfanVseV8yMDIzX2FnZW5kYV9vY3IucGRm,07_july_2023_agenda_ocr.pdf,64257,484,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:14.054004,null,null
2d9b807b-1449-4af6-bd1e-027c0f7c1902,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:54.949866+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDRfYXByaWxfMjAyMl9hZ2VuZGFfb2NyLnBkZg==,04_april_2022_agenda_ocr.pdf,101089,442,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:05.396337,null,null
8aef308b-d916-4ee3-af73-e2f454739f64,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:55.854277+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTFfbm92ZW1iZXJfMjAyNF9taW51dGVzX29jci5wZGY=,11_november_2024_minutes_ocr.pdf,80288,3183,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
daef7c31-beb1-409e-b947-1f3ae11d952c,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:47:16.904643+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTFfaG91c2luZ19vcmRpbmFuY2UucGRm,11_housing_ordinance.pdf,11178219,17525,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
ff05767b-d3f0-4a45-8755-b19ad26394c1,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:49.418435+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDZfanVuZV8yMDI0X2FnZW5kYV9zcGVjaWFsX29jci5wZGY=,06_june_2024_agenda_special_ocr.pdf,12560,125,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:10.007201,null,null
c652d5de-a741-4622-9c4b-1aa600bb9be1,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:14.086005+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDhfYXVndXN0XzIwMjNfbWludXRlc19vY3IucGRm,08_august_2023_minutes_ocr.pdf,175118,3757,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:23.299044,null,null
cef961b0-6ef5-46ee-8c3f-82df9ae99556,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:43.139546+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDZfanVuZV8yMDIzX2FnZW5kYV9vY3IucGRm,06_june_2023_agenda_ocr.pdf,102350,511,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:11.104513,null,null
d2c64d12-3b42-4881-9d2a-1ad19c8816d6,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:43:57.865467+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDRfYXByaWxfMjAyMl9taW51dGVzX29jci5wZGY=,04_april_2022_minutes_ocr.pdf,142788,2330,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:15.844165,null,null
dcc8e7be-3063-401e-b9f1-7223673e4c1d,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:58.095748+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDdfanVseV8yMDI0X2FnZW5kYV9vY3IucGRm,07_july_2024_agenda_ocr.pdf,66730,585,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:12.340724,null,null
6a23e501-b92a-4936-a6d0-ff9aec93a08c,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:41:09.068955+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDJfZmVicnVhcnlfMjAyMl9taW51dGVzX29jci5wZGY=,02_february_2022_minutes_ocr.pdf,120165,2793,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:17.82265,null,null
27d54f0e-e18e-4408-91d8-1048ac57fdcd,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:06.1418+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDdfanVseV8yMDI0X21pbnV0ZXNfXzFfX29jci5wZGY=,07_july_2024_minutes__1__ocr.pdf,62932,2823,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:25.630098,null,null
e86c14b7-c79d-4036-b718-4bf62a2029aa,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:44:21.245334+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjNfbWludXRlc19zcGVjaWFsX2Nfb2NyLnBkZg==,05_may_2023_minutes_special_c_ocr.pdf,91410,934,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:19.041606,null,null
8b4c4622-efa7-40f9-9eaf-889387c8c2a6,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:44:49.688842+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDZfanVuZV8yMDIzX21pbnV0ZXNfb2NyLnBkZg==,06_june_2023_minutes_ocr.pdf,144906,2653,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:20.848142,null,null
91f0d3d7-2bd3-4ac7-860b-d912b2894255,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:44:58.876917+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDdfanVseV8yMDIyX21pbnV0ZXNfb2NyLnBkZg==,07_july_2022_minutes_ocr.pdf,115879,2480,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:27.426877,null,null
107b3fee-6eec-4754-8480-dd10377a5420,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:46.30297+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDZfanVuZV8yMDI0X2FnZW5kYV9vY3IucGRm,06_june_2024_agenda_ocr.pdf,102237,499,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:13.204271,null,null
ae035bdd-ea3c-4357-85f1-c6d91555c72f,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:26.28768+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjNfYWdlbmRhX3NwZWNpYWxfYV9vY3IucGRm,05_may_2023_agenda_special_a_ocr.pdf,90989,69,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:06.283486,null,null
97c0a009-aa1b-4898-8f87-f05446a45323,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:45:11.231394+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDhfYXVndXN0XzIwMjJfbWludXRlc19vY3IucGRm,08_august_2022_minutes_ocr.pdf,147992,2995,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:29.378423,null,null
63b1103f-5c27-4d78-bbb4-fcabe4ff0667,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:36:53.475714+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MTBfb2N0b2Jlcl8yMDIyX2FnZW5kYV9vY3IucGRm,10_october_2022_agenda_ocr.pdf,103853,655,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,null,null,null
4f7f4a6f-0323-4149-9902-6199943f6a4d,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:35:00.621657+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDRfYXByaWxfMjAyNF9hZ2VuZGFfb2NyLnBkZg==,04_april_2024_agenda_ocr.pdf,86180,131,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:31.132554,null,null
25cb7f93-1951-4b5e-ac34-7e1ca55361bd,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:34:57.894241+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDRfYXByaWxfMjAyM19hZ2VuZGFfb2NyLnBkZg==,04_april_2023_agenda_ocr.pdf,48851,527,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:30.44638,null,null
69849dbb-c798-49bc-b63c-bda833a261f8,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:44:18.288469+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDVfbWF5XzIwMjNfbWludXRlc19zcGVjaWFsX2Jfb2NyLnBkZg==,05_may_2023_minutes_special_b_ocr.pdf,82031,385,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:39.225182,null,null
e601e275-a65a-4d5d-9d67-0865c88e86fb,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:43:41.779588+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDNfbWFyY2hfMjAyM19taW51dGVzX29jci5wZGY=,03_march_2023_minutes_ocr.pdf,1081079,7574,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:38.405438,null,null
192a231b-477a-4ff4-a64f-d524e29c67b4,4a867500-7423-4eaa-bc79-94e368555e05,null,2025-06-07 21:41:11.875166+00,null,private,,4a867500-7423-4eaa-bc79-94e368555e05/MDJfZmVicnVhcnlfMjAyM19taW51dGVzX29jci5wZGY=,02_february_2023_minutes_ocr.pdf,941562,5124,pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true,2025-06-08 01:06:34.275248,null,null
