table_schema,table_name,column_name,data_type
public,assistant_collections,user_id,uuid
public,assistant_collections,assistant_id,uuid
public,assistant_collections,collection_id,uuid
public,assistant_collections,created_at,timestamp with time zone
public,assistant_collections,updated_at,timestamp with time zone
public,assistant_files,user_id,uuid
public,assistant_files,assistant_id,uuid
public,assistant_files,file_id,uuid
public,assistant_files,created_at,timestamp with time zone
public,assistant_files,updated_at,timestamp with time zone
public,assistant_tools,user_id,uuid
public,assistant_tools,assistant_id,uuid
public,assistant_tools,tool_id,uuid
public,assistant_tools,created_at,timestamp with time zone
public,assistant_tools,updated_at,timestamp with time zone
public,assistant_workspaces,user_id,uuid
public,assistant_workspaces,assistant_id,uuid
public,assistant_workspaces,workspace_id,uuid
public,assistant_workspaces,created_at,timestamp with time zone
public,assistant_workspaces,updated_at,timestamp with time zone
public,assistants,id,uuid
public,assistants,user_id,uuid
public,assistants,folder_id,uuid
public,assistants,created_at,timestamp with time zone
public,assistants,updated_at,timestamp with time zone
public,assistants,sharing,text
public,assistants,context_length,integer
public,assistants,description,text
public,assistants,embeddings_provider,text
public,assistants,include_profile_context,boolean
public,assistants,include_workspace_instructions,boolean
public,assistants,model,text
public,assistants,name,text
public,assistants,image_path,text
public,assistants,prompt,text
public,assistants,temperature,real
public,chat_files,id,uuid
public,chat_files,user_id,uuid
public,chat_files,folder_id,uuid
public,chat_files,created_at,timestamp with time zone
public,chat_files,updated_at,timestamp with time zone
public,chat_files,sharing,text
public,chat_files,description,text
public,chat_files,file_path,text
public,chat_files,name,text
public,chat_files,size,integer
public,chat_files,tokens,integer
public,chat_files,type,text
public,chat_files,project_id,uuid
public,chat_files,message_index,integer
public,chat_files,timestamp,timestamp without time zone
public,chat_files,topic_id,uuid
public,chat_files,file_id,uuid
public,chat_files,chunk_index,integer
public,chat_files,embedding_json,jsonb
public,chat_files,embedding,USER-DEFINED
public,chat_files,session_id,uuid
public,chat_files,file_name,text
public,chat_files,status,text
public,chat_files,content,text
public,chat_files,topic_name,text
public,chat_files,speaker_role,text
public,chat_files,ingested,boolean
public,chat_files,ingested_at,timestamp without time zone
public,chat_files,uploaded_at,timestamp without time zone
public,chat_files,relevant_date,date
public,chats,id,uuid
public,chats,user_id,uuid
public,chats,workspace_id,uuid
public,chats,assistant_id,uuid
public,chats,folder_id,uuid
public,chats,created_at,timestamp with time zone
public,chats,updated_at,timestamp with time zone
public,chats,sharing,text
public,chats,context_length,integer
public,chats,embeddings_provider,text
public,chats,include_profile_context,boolean
public,chats,include_workspace_instructions,boolean
public,chats,model,text
public,chats,name,text
public,chats,prompt,text
public,chats,temperature,real
public,chats,role,text
public,chats,is_query_embedding,boolean
public,chats,query_embedding_started_at,timestamp with time zone
public,chats,query_embedding_finished_at,timestamp with time zone
public,collection_files,user_id,uuid
public,collection_files,collection_id,uuid
public,collection_files,file_id,uuid
public,collection_files,created_at,timestamp with time zone
public,collection_files,updated_at,timestamp with time zone
public,collection_files,name,text
public,collection_files,relevant_date,date
public,collection_workspaces,user_id,uuid
public,collection_workspaces,collection_id,uuid
public,collection_workspaces,workspace_id,uuid
public,collection_workspaces,created_at,timestamp with time zone
public,collection_workspaces,updated_at,timestamp with time zone
public,collections,id,uuid
public,collections,user_id,uuid